Time	Node	AppId	InterestName	Event	Info
0.523669	Client1	0	/unibe/videos/repr_1_seg_0.264	DownloadStarted	NoInfo
0.524327	Client1	0	/unibe/videos/repr_1_seg_0.264	ManifestReceived	FileSize=60160
0.541669	Client2	0	/unibe/videos/repr_1_seg_0.264	DownloadStarted	NoInfo
0.541895	Client2	0	/unibe/videos/repr_1_seg_0.264	ManifestReceived	FileSize=60160
0.601346	Client2	0	/unibe/videos/repr_1_seg_0.264	DownloadFinished	Speed=7833.33;Time=0.06
0.601346	Client1	0	/unibe/videos/repr_1_seg_0.264	DownloadFinished	Speed=6025.64;Time=0.078
0.602346	Client2	0	/unibe/videos/repr_11_seg_1.264	DownloadStarted	NoInfo
0.602346	Client1	0	/unibe/videos/repr_10_seg_1.264	DownloadStarted	NoInfo
0.603013	Client2	0	/unibe/videos/repr_11_seg_1.264	ManifestReceived	FileSize=448000
0.603137	Client1	0	/unibe/videos/repr_10_seg_1.264	ManifestReceived	FileSize=268800
2.43024	Client2	0	/unibe/videos/repr_11_seg_1.264	DownloadFinished	Speed=1914.66;Time=1.828
2.43124	Client2	0	/unibe/videos/repr_2_seg_2.264	DownloadStarted	NoInfo
2.43146	Client2	0	/unibe/videos/repr_2_seg_2.264	ManifestReceived	FileSize=96000
2.54187	Client2	0	/unibe/videos/repr_2_seg_2.264	DownloadFinished	Speed=6818.18;Time=0.11
2.54287	Client2	0	/unibe/videos/repr_21_seg_3.264	DownloadStarted	NoInfo
2.5431	Client2	0	/unibe/videos/repr_21_seg_3.264	ManifestReceived	FileSize=768000
2.5517	Client1	0	/unibe/videos/repr_10_seg_1.264	DownloadFinished	Speed=1077.48;Time=1.949
2.5527	Client1	0	/unibe/videos/repr_1_seg_2.264	DownloadStarted	NoInfo
2.55293	Client1	0	/unibe/videos/repr_1_seg_2.264	ManifestReceived	FileSize=60160
2.64415	Client1	0	/unibe/videos/repr_1_seg_2.264	DownloadFinished	Speed=5108.7;Time=0.092
2.64515	Client1	0	/unibe/videos/repr_10_seg_3.264	DownloadStarted	NoInfo
2.66474	Client1	0	/unibe/videos/repr_10_seg_3.264	ManifestReceived	FileSize=268800
3.96403	Client1	0	/unibe/videos/repr_10_seg_3.264	DownloadFinished	Speed=1592.12;Time=1.319
3.96503	Client1	0	/unibe/videos/repr_4_seg_4.264	DownloadStarted	NoInfo
3.96569	Client1	0	/unibe/videos/repr_4_seg_4.264	ManifestReceived	FileSize=192000
4.16126	Client1	0	/unibe/videos/repr_4_seg_4.264	DownloadFinished	Speed=7653.06;Time=0.196
4.16226	Client1	0	/unibe/videos/repr_21_seg_5.264	DownloadStarted	NoInfo
4.16293	Client1	0	/unibe/videos/repr_21_seg_5.264	ManifestReceived	FileSize=768000
4.4451	Client2	0	/unibe/videos/repr_21_seg_3.264	DownloadFinished	Speed=3152.92;Time=1.903
4.4461	Client2	0	/unibe/videos/repr_10_seg_4.264	DownloadStarted	NoInfo
4.46933	Client2	0	/unibe/videos/repr_10_seg_4.264	ManifestReceived	FileSize=268800
6.27717	Client1	0	/unibe/videos/repr_21_seg_5.264	DownloadFinished	Speed=2836.88;Time=2.115
6.27817	Client1	0	/unibe/videos/repr_10_seg_6.264	DownloadStarted	NoInfo
6.27883	Client1	0	/unibe/videos/repr_10_seg_6.264	ManifestReceived	FileSize=268800
6.48419	Client2	0	/unibe/videos/repr_10_seg_4.264	DownloadFinished	Speed=1030.42;Time=2.038
6.48519	Client2	0	/unibe/videos/repr_2_seg_5.264	DownloadStarted	NoInfo
6.49882	Client2	0	/unibe/videos/repr_2_seg_5.264	ManifestReceived	FileSize=96000
6.55022	Client1	0	/unibe/videos/repr_10_seg_6.264	DownloadFinished	Speed=7720.59;Time=0.272
6.55122	Client1	0	/unibe/videos/repr_31_seg_7.264	DownloadStarted	NoInfo
6.55145	Client1	0	/unibe/videos/repr_31_seg_7.264	ManifestReceived	FileSize=1484800
7.84787	Client1	0	/unibe/videos/repr_31_seg_7.264	DownloadFinished	Speed=8950.62;Time=1.296
7.84887	Client1	0	/unibe/videos/repr_31_seg_8.264	DownloadStarted	NoInfo
7.84954	Client1	0	/unibe/videos/repr_31_seg_8.264	ManifestReceived	FileSize=1484800
8.40773	Client2	0	/unibe/videos/repr_2_seg_5.264	DownloadFinished	Speed=390.219;Time=1.922
8.40873	Client2	0	/unibe/videos/repr_1_seg_6.264	DownloadStarted	NoInfo
8.44397	Client2	0	/unibe/videos/repr_1_seg_6.264	ManifestReceived	FileSize=60160
8.59649	Client2	0	/unibe/videos/repr_1_seg_6.264	DownloadFinished	Speed=2500;Time=0.188
8.59749	Client2	0	/unibe/videos/repr_10_seg_7.264	DownloadStarted	NoInfo
8.59772	Client2	0	/unibe/videos/repr_10_seg_7.264	ManifestReceived	FileSize=268800
10.1919	Client1	0	/unibe/videos/repr_31_seg_8.264	DownloadFinished	Speed=4950.92;Time=2.343
10.1929	Client1	0	/unibe/videos/repr_21_seg_9.264	DownloadStarted	NoInfo
10.1936	Client1	0	/unibe/videos/repr_21_seg_9.264	ManifestReceived	FileSize=768000
10.5188	Client2	0	/unibe/videos/repr_10_seg_7.264	DownloadFinished	Speed=1093.18;Time=1.921
10.5198	Client2	0	/unibe/videos/repr_2_seg_8.264	DownloadStarted	NoInfo
10.5431	Client2	0	/unibe/videos/repr_2_seg_8.264	ManifestReceived	FileSize=96000
10.9021	Client2	0	/unibe/videos/repr_2_seg_8.264	DownloadFinished	Speed=1958.22;Time=0.383
10.9031	Client2	0	/unibe/videos/repr_4_seg_9.264	DownloadStarted	NoInfo
10.9033	Client2	0	/unibe/videos/repr_4_seg_9.264	ManifestReceived	FileSize=192000
11.1084	Client2	0	/unibe/videos/repr_4_seg_9.264	DownloadFinished	Speed=7317.07;Time=0.205
11.1094	Client2	0	/unibe/videos/repr_30_seg_10.264	DownloadStarted	NoInfo
11.1097	Client2	0	/unibe/videos/repr_30_seg_10.264	ManifestReceived	FileSize=1100800
12.0113	Client1	0	/unibe/videos/repr_21_seg_9.264	DownloadFinished	Speed=3298.52;Time=1.819
12.0123	Client1	0	/unibe/videos/repr_20_seg_10.264	DownloadStarted	NoInfo
12.038	Client1	0	/unibe/videos/repr_20_seg_10.264	ManifestReceived	FileSize=601600
12.1638	Client2	0	/unibe/videos/repr_30_seg_10.264	DownloadFinished	Speed=8159.39;Time=1.054
12.1648	Client2	0	/unibe/videos/repr_31_seg_11.264	DownloadStarted	NoInfo
12.165	Client2	0	/unibe/videos/repr_31_seg_11.264	ManifestReceived	FileSize=1484800
14.0261	Client2	0	/unibe/videos/repr_31_seg_11.264	DownloadFinished	Speed=6229.86;Time=1.862
14.0271	Client2	0	/unibe/videos/repr_30_seg_12.264	DownloadStarted	NoInfo
14.0278	Client2	0	/unibe/videos/repr_30_seg_12.264	ManifestReceived	FileSize=1100800
14.9857	Client2	0	/unibe/videos/repr_30_seg_12.264	DownloadFinished	Speed=8977.04;Time=0.958
14.9867	Client2	0	/unibe/videos/repr_31_seg_13.264	DownloadStarted	NoInfo
14.987	Client2	0	/unibe/videos/repr_31_seg_13.264	ManifestReceived	FileSize=1484800
15.0621	Client1	0	/unibe/videos/repr_20_seg_10.264	DownloadFinished	Speed=1540.98;Time=3.05
15.0631	Client1	0	/unibe/videos/repr_4_seg_11.264	DownloadStarted	NoInfo
15.0633	Client1	0	/unibe/videos/repr_4_seg_11.264	ManifestReceived	FileSize=192000
15.3443	Client1	0	/unibe/videos/repr_4_seg_11.264	DownloadFinished	Speed=5338.08;Time=0.281
15.3453	Client1	0	/unibe/videos/repr_21_seg_12.264	DownloadStarted	NoInfo
15.3455	Client1	0	/unibe/videos/repr_21_seg_12.264	ManifestReceived	FileSize=768000
17.1504	Client2	0	/unibe/videos/repr_31_seg_13.264	DownloadFinished	Speed=5360.44;Time=2.164
17.1514	Client2	0	/unibe/videos/repr_21_seg_14.264	DownloadStarted	NoInfo
17.1516	Client2	0	/unibe/videos/repr_21_seg_14.264	ManifestReceived	FileSize=768000
17.1823	Client1	0	/unibe/videos/repr_21_seg_12.264	DownloadFinished	Speed=3266.19;Time=1.837
17.1833	Client1	0	/unibe/videos/repr_20_seg_13.264	DownloadStarted	NoInfo
17.1836	Client1	0	/unibe/videos/repr_20_seg_13.264	ManifestReceived	FileSize=601600
19.0258	Client2	0	/unibe/videos/repr_21_seg_14.264	DownloadFinished	Speed=3201.71;Time=1.874
19.0268	Client2	0	/unibe/videos/repr_20_seg_15.264	DownloadStarted	NoInfo
19.0275	Client2	0	/unibe/videos/repr_20_seg_15.264	ManifestReceived	FileSize=601600
20.1598	Client2	0	/unibe/videos/repr_20_seg_15.264	DownloadFinished	Speed=4148.28;Time=1.133
20.1608	Client2	0	/unibe/videos/repr_21_seg_16.264	DownloadStarted	NoInfo
20.1614	Client2	0	/unibe/videos/repr_21_seg_16.264	ManifestReceived	FileSize=768000
20.8064	Client1	0	/unibe/videos/repr_20_seg_13.264	DownloadFinished	Speed=1297.27;Time=3.623
20.8074	Client1	0	/unibe/videos/repr_3_seg_14.264	DownloadStarted	NoInfo
20.821	Client1	0	/unibe/videos/repr_3_seg_14.264	ManifestReceived	FileSize=143360
20.8369	Client2	0	/unibe/videos/repr_21_seg_16.264	DownloadFinished	Speed=8875.74;Time=0.676
20.8379	Client2	0	/unibe/videos/repr_31_seg_17.264	DownloadStarted	NoInfo
20.8479	Client2	0	/unibe/videos/repr_31_seg_17.264	ManifestReceived	FileSize=1484800
22.239	Client2	0	/unibe/videos/repr_31_seg_17.264	DownloadFinished	Speed=8279.8;Time=1.401
22.24	Client2	0	/unibe/videos/repr_31_seg_18.264	DownloadStarted	NoInfo
22.2406	Client2	0	/unibe/videos/repr_31_seg_18.264	ManifestReceived	FileSize=1484800
22.637	Client1	0	/unibe/videos/repr_3_seg_14.264	DownloadFinished	Speed=612.022;Time=1.83
22.638	Client1	0	/unibe/videos/repr_1_seg_15.264	DownloadStarted	NoInfo
22.6387	Client1	0	/unibe/videos/repr_1_seg_15.264	ManifestReceived	FileSize=60160
23.2522	Client1	0	/unibe/videos/repr_1_seg_15.264	DownloadFinished	Speed=765.472;Time=0.614
23.2532	Client1	0	/unibe/videos/repr_3_seg_16.264	DownloadStarted	NoInfo
23.2535	Client1	0	/unibe/videos/repr_3_seg_16.264	ManifestReceived	FileSize=143360
23.9883	Client1	0	/unibe/videos/repr_3_seg_16.264	DownloadFinished	Speed=1523.81;Time=0.735
23.9893	Client1	0	/unibe/videos/repr_10_seg_17.264	DownloadStarted	NoInfo
23.9895	Client1	0	/unibe/videos/repr_10_seg_17.264	ManifestReceived	FileSize=268800
24.2548	Client1	0	/unibe/videos/repr_10_seg_17.264	DownloadFinished	Speed=7924.53;Time=0.265
24.2558	Client1	0	/unibe/videos/repr_31_seg_18.264	DownloadStarted	NoInfo
24.2561	Client1	0	/unibe/videos/repr_31_seg_18.264	ManifestReceived	FileSize=1484800
24.6657	Client2	0	/unibe/videos/repr_31_seg_18.264	DownloadFinished	Speed=4781.53;Time=2.426
24.6667	Client2	0	/unibe/videos/repr_21_seg_19.264	DownloadStarted	NoInfo
