Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
18.5596	ES-C004	8	3_1080	19485642	28	0	
18.5646	ES-C006	8	3_1080	19319808	28	0	
18.5726	ES-C001	8	3_1080	19374770	28	0	
18.5766	IE-C006	8	3_1080	9770778	12	0	
18.5786	ES-C002	8	3_1080	13159869	20	0	
18.5797	IE-C005	8	3_1080	12337377	16	0	
18.5836	IE-C002	8	3_1080	12348562	16	0	
20.5292	ES-C005	9	3_1080	12753243	22	0	
20.5422	IE-C003	9	3_1080	9458656	12	0	
20.5422	IE-C001	9	3_1080	12204717	18	0	
20.5526	IE-C004	9	3_1080	12270688	18	0	
20.5592	ES-C003	9	3_1080	19513558	28	0	
20.5596	ES-C004	9	3_1080	19374770	28	0	
20.5646	ES-C006	9	3_1080	19569632	28	0	
20.5726	ES-C001	9	3_1080	19374770	28	0	
20.5766	IE-C006	9	3_1080	9367582	12	0	
20.5786	ES-C002	9	3_1080	12753243	22	0	
20.5797	IE-C005	9	3_1080	11802828	18	0	
20.5836	IE-C002	9	3_1080	11792610	18	0	
22.5292	ES-C005	10	3_1080	13071463	26	0	
22.5422	IE-C003	10	3_1080	9646221	14	0	
22.5422	IE-C001	10	3_1080	12215663	20	0	
22.5526	IE-C004	10	3_1080	12281753	20	0	
22.5592	ES-C003	10	3_1080	19402370	28	0	
22.5596	ES-C004	10	3_1080	19457806	28	0	
22.5646	ES-C006	10	3_1080	19374770	28	0	
22.5726	ES-C001	10	3_1080	19485642	28	0	
22.5766	IE-C006	10	3_1080	9221709	12	0	
22.5786	ES-C002	10	3_1080	13121834	26	0	
22.5797	IE-C005	10	3_1080	11947775	18	0	
22.5836	IE-C002	10	3_1080	11958265	18	0	
24.5292	ES-C005	11	3_1080	12947209	28	0	
24.5422	IE-C003	11	3_1080	9303596	14	0	
24.5422	IE-C001	11	3_1080	12000409	20	0	
24.5526	IE-C004	11	3_1080	12000409	20	0	
24.5592	ES-C003	11	3_1080	19022994	28	0	
24.5596	ES-C004	11	3_1080	19430048	28	0	
24.5646	ES-C006	11	3_1080	18970006	28	0	
24.5726	ES-C001	11	3_1080	19292442	28	0	
24.5766	IE-C006	11	3_1080	9485003	14	0	
24.5786	ES-C002	11	3_1080	12947209	28	0	
24.5797	IE-C005	11	3_1080	11958265	20	0	
24.5836	IE-C002	11	3_1080	12032212	20	0	
26.5292	ES-C005	12	3_1080	12984236	28	0	
26.5422	IE-C003	12	3_1080	9240478	14	0	
26.5422	IE-C001	12	3_1080	12042851	22	0	
26.5526	IE-C004	12	3_1080	12042851	22	0	
26.5592	ES-C003	12	3_1080	19597790	28	0	
26.5596	ES-C004	12	3_1080	19374770	28	0	
26.5646	ES-C006	12	3_1080	19597790	28	0	
26.5726	ES-C001	12	3_1080	19374770	28	0	
26.5766	IE-C006	12	3_1080	9122883	14	0	
26.5786	ES-C002	12	3_1080	12971870	28	0	
26.5797	IE-C005	12	3_1080	12053508	22	0	
26.5836	IE-C002	12	3_1080	12074879	22	0	
28.5292	ES-C005	13	3_1080	12861628	28	0	
28.5422	IE-C003	13	3_1080	9284570	16	0	
28.5422	IE-C001	13	3_1080	12182884	24	0	
28.5526	IE-C004	13	3_1080	12096327	24	0	
28.5592	ES-C003	13	3_1080	19513558	28	0	
28.5596	ES-C004	13	3_1080	19402370	28	0	
28.5646	ES-C006	13	3_1080	19457806	28	0	
28.5726	ES-C001	13	3_1080	19374770	28	0	
28.5766	IE-C006	13	3_1080	9591876	16	0	
28.5786	ES-C002	13	3_1080	12885964	28	0	
28.5797	IE-C005	13	3_1080	12139451	24	0	
28.5836	IE-C002	13	3_1080	12237614	24	0	
30.5292	ES-C005	14	3_1080	12947209	28	0	
30.5422	IE-C003	14	3_1080	9445537	16	0	
30.5422	IE-C001	14	3_1080	12042851	26	0	
30.5526	IE-C004	14	3_1080	12053508	26	0	
30.5592	ES-C003	14	3_1080	19682752	28	0	
30.5596	ES-C004	14	3_1080	19597790	28	0	
30.5646	ES-C006	14	3_1080	19682752	28	0	
30.5726	ES-C001	14	3_1080	19626028	28	0	
30.5766	IE-C006	14	3_1080	9335479	16	0	
30.5786	ES-C002	14	3_1080	12934914	28	0	
30.5797	IE-C005	14	3_1080	12182884	24	0	
30.5836	IE-C002	14	3_1080	12182884	24	0	
32.5292	ES-C005	15	3_1080	13033937	28	0	
32.5422	IE-C003	15	3_1080	9374029	18	0	
32.5422	IE-C001	15	3_1080	12182884	28	0	
32.5526	IE-C004	15	3_1080	12171996	28	0	
32.5592	ES-C003	15	3_1080	19682752	28	0	
32.5596	ES-C004	15	3_1080	19457806	28	0	
32.5646	ES-C006	15	3_1080	19654350	28	0	
32.5726	ES-C001	15	3_1080	19654350	28	0	
32.5766	IE-C006	15	3_1080	9406398	16	0	
32.5786	ES-C002	15	3_1080	13033937	28	0	
32.5797	IE-C005	15	3_1080	11979300	26	0	
32.5836	IE-C002	15	3_1080	11979300	26	0	
34.5292	ES-C005	16	3_1080	13340317	26	0	
34.5422	IE-C003	16	3_1080	9316323	20	0	
34.5422	IE-C001	16	3_1080	12438780	26	0	
