Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
18.5612	IE-C005	8	3_1080	26706792	28	0	
18.5626	ES-C006	8	3_1080	26971216	28	0	
18.5666	IE-C004	8	3_1080	26654528	28	0	
18.5686	ES-C004	8	3_1080	26971216	28	0	
18.5886	IE-C002	8	3_1080	26706792	28	0	
18.5966	IE-C001	8	3_1080	26706792	28	0	
18.6036	ES-C002	8	3_1080	26971216	28	0	
20.5142	ES-C003	9	3_1080	27078458	28	0	
20.5242	ES-C001	9	3_1080	27132398	28	0	
20.5562	IE-C003	9	3_1080	27460612	28	0	
20.557	ES-C005	9	3_1080	27078458	28	0	
20.5596	IE-C006	9	3_1080	27460612	28	0	
20.5612	IE-C005	9	3_1080	27516088	28	0	
20.5626	ES-C006	9	3_1080	27078458	28	0	
20.5666	IE-C004	9	3_1080	27516088	28	0	
20.5686	ES-C004	9	3_1080	27132398	28	0	
20.5886	IE-C002	9	3_1080	27460612	28	0	
20.5966	IE-C001	9	3_1080	27516088	28	0	
20.6036	ES-C002	9	3_1080	27078458	28	0	
22.5142	ES-C003	10	3_1080	27853710	28	0	
22.5242	ES-C001	10	3_1080	27740252	28	0	
22.5562	IE-C003	10	3_1080	27627716	28	0	
22.557	ES-C005	10	3_1080	27796866	28	0	
22.5596	IE-C006	10	3_1080	27627716	28	0	
22.5612	IE-C005	10	3_1080	27627716	28	0	
22.5626	ES-C006	10	3_1080	27796866	28	0	
22.5666	IE-C004	10	3_1080	27627716	28	0	
22.5686	ES-C004	10	3_1080	27740252	28	0	
22.5886	IE-C002	10	3_1080	27683870	28	0	
22.5966	IE-C001	10	3_1080	27627716	28	0	
22.6036	ES-C002	10	3_1080	27853710	28	0	
24.5142	ES-C003	11	3_1080	27240928	28	0	
24.5242	ES-C001	11	3_1080	27350330	28	0	
24.5562	IE-C003	11	3_1080	27627716	28	0	
24.557	ES-C005	11	3_1080	27295520	28	0	
24.5596	IE-C006	11	3_1080	27627716	28	0	
24.5612	IE-C005	11	3_1080	27627716	28	0	
24.5626	ES-C006	11	3_1080	27350330	28	0	
24.5666	IE-C004	11	3_1080	27627716	28	0	
24.5686	ES-C004	11	3_1080	27295520	28	0	
24.5886	IE-C002	11	3_1080	27627716	28	0	
24.5966	IE-C001	11	3_1080	27627716	28	0	
24.6036	ES-C002	11	3_1080	27295520	28	0	
26.5142	ES-C003	12	3_1080	27186554	28	0	
26.5242	ES-C001	12	3_1080	27186554	28	0	
26.5562	IE-C003	12	3_1080	26864820	28	0	
26.557	ES-C005	12	3_1080	27132398	28	0	
26.5596	IE-C006	12	3_1080	26864820	28	0	
26.5612	IE-C005	12	3_1080	26864820	28	0	
26.5626	ES-C006	12	3_1080	27186554	28	0	
26.5666	IE-C004	12	3_1080	26864820	28	0	
26.5686	ES-C004	12	3_1080	27186554	28	0	
26.5886	IE-C002	12	3_1080	26864820	28	0	
26.5966	IE-C001	12	3_1080	26864820	28	0	
26.6036	ES-C002	12	3_1080	27186554	28	0	
28.5142	ES-C003	13	3_1080	27240928	28	0	
28.5242	ES-C001	13	3_1080	27240928	28	0	
28.5562	IE-C003	13	3_1080	27078458	28	0	
28.557	ES-C005	13	3_1080	27186554	28	0	
28.5596	IE-C006	13	3_1080	27078458	28	0	
28.5612	IE-C005	13	3_1080	27132398	28	0	
28.5626	ES-C006	13	3_1080	27240928	28	0	
28.5666	IE-C004	13	3_1080	27186554	28	0	
28.5686	ES-C004	13	3_1080	27240928	28	0	
28.5886	IE-C002	13	3_1080	27186554	28	0	
28.5966	IE-C001	13	3_1080	27132398	28	0	
28.6036	ES-C002	13	3_1080	27240928	28	0	
30.5142	ES-C003	14	3_1080	27350330	28	0	
30.5242	ES-C001	14	3_1080	27295520	28	0	
30.5562	IE-C003	14	3_1080	26971216	28	0	
30.557	ES-C005	14	3_1080	27295520	28	0	
30.5596	IE-C006	14	3_1080	26971216	28	0	
30.5612	IE-C005	14	3_1080	26917914	28	0	
30.5626	ES-C006	14	3_1080	27350330	28	0	
30.5666	IE-C004	14	3_1080	26971216	28	0	
30.5686	ES-C004	14	3_1080	27295520	28	0	
30.5886	IE-C002	14	3_1080	26971216	28	0	
30.5966	IE-C001	14	3_1080	27024730	28	0	
30.6036	ES-C002	14	3_1080	27295520	28	0	
32.5142	ES-C003	15	3_1080	27571790	28	0	
32.5242	ES-C001	15	3_1080	27571790	28	0	
32.5562	IE-C003	15	3_1080	27350330	28	0	
32.557	ES-C005	15	3_1080	27627716	28	0	
32.5596	IE-C006	15	3_1080	27405360	28	0	
32.5612	IE-C005	15	3_1080	27516088	28	0	
32.5626	ES-C006	15	3_1080	27571790	28	0	
32.5666	IE-C004	15	3_1080	27350330	28	0	
32.5686	ES-C004	15	3_1080	27627716	28	0	
32.5886	IE-C002	15	3_1080	27405360	28	0	
32.5966	IE-C001	15	3_1080	27350330	28	0	
32.6036	ES-C002	15	3_1080	27683870	28	0	
34.5142	ES-C003	16	3_1080	27186554	26	0	
34.5242	ES-C001	16	3_1080	27240928	26	0	
34.5562	IE-C003	16	3_1080	27350330	26	0	
34.557	ES-C005	16	3_1080	27240928	26	0	
34.5596	IE-C006	16	3_1080	27405360	26	0	
34.5612	IE-C005	16	3_1080	27350330	26	0	
34.5626	ES-C006	16	3_1080	27240928	26	0	
34.5666	IE-C004	16	3_1080	27295520	26	0	
34.5686	ES-C004	16	3_1080	27240928	26	0	
34.5886	IE-C002	16	3_1080	27350330	26	0	
34.5966	IE-C001	16	3_1080	27350330	26	0	
34.6036	ES-C002	16	3_1080	27132398	26	0	
36.5142	ES-C003	17	3_1080	27078458	24	0	
36.5242	ES-C001	17	3_1080	27078458	24	0	
36.5562	IE-C003	17	3_1080	27350330	24	0	
36.557	ES-C005	17	3_1080	27078458	24	0	
36.5596	IE-C006	17	3_1080	27350330	24	0	
36.5612	IE-C005	17	3_1080	27350330	24	0	
36.5626	ES-C006	17	3_1080	27078458	24	0	
36.5666	IE-C004	17	3_1080	27350330	24	0	
36.5686	ES-C004	17	3_1080	27078458	24	0	
36.5886	IE-C002	17	3_1080	27350330	24	0	
36.5966	IE-C001	17	3_1080	27295520	24	0	
36.6036	ES-C002	17	3_1080	27186554	24	0	
38.5142	ES-C003	18	3_1080	27295520	22	0	
38.5242	ES-C001	18	3_1080	27240928	22	0	
38.5562	IE-C003	18	3_1080	27405360	22	0	
38.557	ES-C005	18	3_1080	27295520	22	0	
38.5596	IE-C006	18	3_1080	27405360	22	0	
38.5612	IE-C005	18	3_1080	27405360	22	0	
38.5626	ES-C006	18	3_1080	27295520	22	0	
38.5666	IE-C004	18	3_1080	27405360	22	0	
38.5686	ES-C004	18	3_1080	27295520	22	0	
38.5886	IE-C002	18	3_1080	27405360	22	0	
38.5966	IE-C001	18	3_1080	27405360	22	0	
38.6036	ES-C002	18	3_1080	27295520	22	0	
40.5142	ES-C003	19	3_1080	27295520	20	0	
40.5242	ES-C001	19	3_1080	27240928	20	0	
40.5562	IE-C003	19	3_1080	27516088	20	0	
40.557	ES-C005	19	3_1080	27240928	20	0	
40.5596	IE-C006	19	3_1080	27516088	20	0	
40.5612	IE-C005	19	3_1080	27516088	20	0	
40.5626	ES-C006	19	3_1080	27295520	20	0	
40.5666	IE-C004	19	3_1080	27516088	20	0	
40.5686	ES-C004	19	3_1080	27240928	20	0	
40.5886	IE-C002	19	3_1080	27516088	20	0	
40.5966	IE-C001	19	3_1080	27516088	20	0	
40.6036	ES-C002	19	3_1080	27186554	20	0	
42.5142	ES-C003	20	3_1080	27024730	18	0	
42.5242	ES-C001	20	3_1080	27078458	18	0	
42.5562	IE-C003	20	3_1080	27910786	18	0	
42.557	ES-C005	20	3_1080	27132398	18	0	
42.5596	IE-C006	20	3_1080	27853710	18	0	
