Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
18.5417	ES-C005	8	3_1080	27078458	28	0	
18.5472	ES-C003	8	3_1080	27186554	28	0	
18.5486	ES-C004	8	3_1080	27186554	28	0	
18.5546	IE-C001	8	3_1080	27460612	28	0	
18.5786	ES-C006	8	3_1080	27186554	28	0	
18.5836	IE-C006	8	3_1080	27460612	28	0	
18.5896	ES-C002	8	3_1080	27132398	28	0	
20.5092	IE-C003	9	3_1080	26864820	28	0	
20.5102	IE-C004	9	3_1080	26864820	28	0	
20.531	IE-C002	9	3_1080	26864820	28	0	
20.531	IE-C005	9	3_1080	26917914	28	0	
20.5312	ES-C001	9	3_1080	27132398	28	0	
20.5417	ES-C005	9	3_1080	27078458	28	0	
20.5472	ES-C003	9	3_1080	27132398	28	0	
20.5486	ES-C004	9	3_1080	27132398	28	0	
20.5546	IE-C001	9	3_1080	26864820	28	0	
20.5786	ES-C006	9	3_1080	27078458	28	0	
20.5836	IE-C006	9	3_1080	26864820	28	0	
20.5896	ES-C002	9	3_1080	27078458	28	0	
22.5092	IE-C003	10	3_1080	27132398	28	0	
22.5102	IE-C004	10	3_1080	27132398	28	0	
22.531	IE-C002	10	3_1080	27132398	28	0	
22.531	IE-C005	10	3_1080	27078458	28	0	
22.5312	ES-C001	10	3_1080	26971216	28	0	
22.5417	ES-C005	10	3_1080	27024730	28	0	
22.5472	ES-C003	10	3_1080	26971216	28	0	
22.5486	ES-C004	10	3_1080	26971216	28	0	
22.5546	IE-C001	10	3_1080	27132398	28	0	
22.5786	ES-C006	10	3_1080	26971216	28	0	
22.5836	IE-C006	10	3_1080	27132398	28	0	
22.5896	ES-C002	10	3_1080	27024730	28	0	
24.5092	IE-C003	11	3_1080	27078458	28	0	
24.5102	IE-C004	11	3_1080	27078458	28	0	
24.531	IE-C002	11	3_1080	27078458	28	0	
24.531	IE-C005	11	3_1080	27078458	28	0	
24.5312	ES-C001	11	3_1080	27240928	28	0	
