Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
18.5786	IE-C004	8	3_1080	14772738	22	0	
18.5802	ES-C003	8	3_1080	14788777	22	0	
18.5806	ES-C002	8	3_1080	14788777	22	0	
18.5816	IE-C001	8	3_1080	14772738	22	0	
18.5836	IE-C003	8	3_1080	14772738	22	0	
18.5846	ES-C001	8	3_1080	14788777	22	0	
18.6006	ES-C006	8	3_1080	14788777	22	0	
20.5372	IE-C005	9	3_1080	14772738	24	0	
20.5432	IE-C006	9	3_1080	14772738	24	0	
20.5572	ES-C005	9	3_1080	14740762	24	0	
20.5597	ES-C004	9	3_1080	14756732	24	0	
20.5786	IE-C002	9	3_1080	14772738	24	0	
20.5786	IE-C004	9	3_1080	14772738	24	0	
20.5802	ES-C003	9	3_1080	14740762	24	0	
20.5806	ES-C002	9	3_1080	14740762	24	0	
20.5816	IE-C001	9	3_1080	14772738	24	0	
20.5836	IE-C003	9	3_1080	14772738	24	0	
20.5846	ES-C001	9	3_1080	14740762	24	0	
20.6006	ES-C006	9	3_1080	14740762	24	0	
22.5372	IE-C005	10	3_1080	14629929	26	0	
22.5432	IE-C006	10	3_1080	14629929	26	0	
22.5572	ES-C005	10	3_1080	14645660	26	0	
22.5597	ES-C004	10	3_1080	14645660	26	0	
22.5786	IE-C002	10	3_1080	14629929	26	0	
22.5786	IE-C004	10	3_1080	14629929	26	0	
22.5802	ES-C003	10	3_1080	14645660	26	0	
22.5806	ES-C002	10	3_1080	14645660	26	0	
22.5816	IE-C001	10	3_1080	14629929	26	0	
22.5836	IE-C003	10	3_1080	14629929	26	0	
22.5846	ES-C001	10	3_1080	14645660	26	0	
22.6006	ES-C006	10	3_1080	14645660	26	0	
24.5372	IE-C005	11	3_1080	14740762	28	0	
24.5432	IE-C006	11	3_1080	14740762	28	0	
24.5572	ES-C005	11	3_1080	14740762	28	0	
24.5597	ES-C004	11	3_1080	14740762	28	0	
24.5786	IE-C002	11	3_1080	14740762	28	0	
24.5786	IE-C004	11	3_1080	14740762	28	0	
24.5802	ES-C003	11	3_1080	14740762	28	0	
24.5806	ES-C002	11	3_1080	14740762	28	0	
24.5816	IE-C001	11	3_1080	14740762	28	0	
24.5836	IE-C003	11	3_1080	14740762	28	0	
24.5846	ES-C001	11	3_1080	14740762	28	0	
24.6006	ES-C006	11	3_1080	14740762	28	0	
26.5372	IE-C005	12	3_1080	14598568	28	0	
26.5432	IE-C006	12	3_1080	14598568	28	0	
26.5572	ES-C005	12	3_1080	14614232	28	0	
26.5597	ES-C004	12	3_1080	14614232	28	0	
26.5786	IE-C002	12	3_1080	14598568	28	0	
26.5786	IE-C004	12	3_1080	14598568	28	0	
26.5802	ES-C003	12	3_1080	14614232	28	0	
26.5806	ES-C002	12	3_1080	14614232	28	0	
26.5816	IE-C001	12	3_1080	14598568	28	0	
26.5836	IE-C003	12	3_1080	14598568	28	0	
26.5846	ES-C001	12	3_1080	14614232	28	0	
26.6006	ES-C006	12	3_1080	14614232	28	0	
28.5372	IE-C005	13	3_1080	14837107	28	0	
28.5432	IE-C006	13	3_1080	14837107	28	0	
28.5572	ES-C005	13	3_1080	14837107	28	0	
28.5597	ES-C004	13	3_1080	14837107	28	0	
28.5786	IE-C002	13	3_1080	14837107	28	0	
28.5786	IE-C004	13	3_1080	14837107	28	0	
28.5802	ES-C003	13	3_1080	14837107	28	0	
28.5806	ES-C002	13	3_1080	14837107	28	0	
28.5816	IE-C001	13	3_1080	14837107	28	0	
28.5836	IE-C003	13	3_1080	14837107	28	0	
28.5846	ES-C001	13	3_1080	14837107	28	0	
28.6006	ES-C006	13	3_1080	14837107	28	0	
30.5372	IE-C005	14	3_1080	14677224	28	0	
30.5432	IE-C006	14	3_1080	14677224	28	0	
30.5572	ES-C005	14	3_1080	14629929	28	0	
30.5597	ES-C004	14	3_1080	14629929	28	0	
30.5786	IE-C002	14	3_1080	14677224	28	0	
30.5786	IE-C004	14	3_1080	14677224	28	0	
30.5802	ES-C003	14	3_1080	14629929	28	0	
30.5806	ES-C002	14	3_1080	14629929	28	0	
30.5816	IE-C001	14	3_1080	14677224	28	0	
30.5836	IE-C003	14	3_1080	14677224	28	0	
30.5846	ES-C001	14	3_1080	14629929	28	0	
30.6006	ES-C006	14	3_1080	14629929	28	0	
32.5372	IE-C005	15	3_1080	14708924	28	0	
